date,symbol,direction,entry_time,exit_time,entry_price,exit_price,shares,entry_cost,exit_proceeds,entry_fee,exit_fee,pnl,return_pct,trade_duration_hours,exit_reason,portfolio_value
2010-03-03,NIFTY,LONG,2010-03-03,2010-05-04,5088.10009765625,5148.5,19.65370139751444,100000.0,101187.08164510308,0,0,1187.0816451030842,1.1870816451030841,1488.0,Close < MA,101187.08164510308
2010-05-10,NIFTY,LONG,2010-05-10,2010-05-11,5193.60009765625,5136.14990234375,19.70334306885131,102331.28448654077,101199.32357892607,0,0,-1131.9609076147026,-1.1061728710769627,24.0,Close < MA,101199.32357892607
2010-05-13,NIFTY,LONG,2010-05-13,2010-05-14,5178.89990234375,5093.5,19.924595722246053,103187.48684017878,101485.92831126027,0,0,-1701.558528918511,-1.6489969675818912,24.0,Close < MA,101485.92831126027
2010-06-04,NIFTY,LONG,2010-06-04,2010-06-07,5135.5,5034.0,19.802362133081843,101695.03073444181,99685.090977934,0,0,-2009.9397565078107,-1.9764385162106939,72.0,Close < MA,99685.090977934
2010-06-11,NIFTY,LONG,2010-06-11,2010-11-24,5119.35009765625,5865.75,19.43456799608186,99492.3575686487,113998.31722301718,0,0,14505.959654368475,14.57997378779522,3984.0,Close < MA,113998.31722301718
2010-12-01,NIFTY,LONG,2010-12-01,2010-12-09,5960.89990234375,5766.5,19.099005778108054,113847.26167758701,110134.4168194601,0,0,-3712.8448581269186,-3.2612509105766767,192.0,Close < MA,110134.4168194601
2010-12-13,NIFTY,LONG,2010-12-13,2011-01-07,5907.64990234375,5904.60009765625,18.674430790078134,110321.9992333302,110265.04586677023,0,0,-56.9533665599738,-0.05162466865699002,600.0,Close < MA,110265.04586677023
2011-03-25,NIFTY,LONG,2011-03-25,2011-05-03,5654.25,5565.25,20.156530732563827,113970.06389459902,112176.13265940084,0,0,-1793.931235198179,-1.5740372286333275,936.0,Close < MA,112176.13265940084
2011-06-29,NIFTY,LONG,2011-06-29,2011-07-12,5600.4501953125,5526.14990234375,19.694295494735623,110296.92105003422,108833.62912496222,0,0,-1463.2919250720006,-1.3266842910403678,312.0,Close < MA,108833.62912496222
2011-07-13,NIFTY,LONG,2011-07-13,2011-07-20,5585.4501953125,5567.0498046875,19.690883887408084,109982.45125479925,109620.13129951942,0,0,-362.31995527983236,-0.32943433351965956,168.0,Close < MA,109620.13129951942
2011-07-22,NIFTY,LONG,2011-07-22,2011-07-27,5633.9501953125,5546.7998046875,19.379871722009778,109185.23207334819,107496.26868251264,0,0,-1688.9633908355463,-1.5468789677535681,120.0,Close < MA,107496.26868251264
2011-10-25,NIFTY,LONG,2011-10-25,2011-11-11,5191.60009765625,5168.85009765625,23.88119444356023,123981.61140533518,123438.31423174418,0,0,-543.297173590996,-0.43820786601553785,408.0,Close < MA,123438.31423174418
2012-01-17,NIFTY,LONG,2012-01-17,2012-03-26,4967.2998046875,5184.25,24.029667245325562,119362.56141441128,124575.80241657904,0,0,5213.241002167764,4.367567971391021,1656.0,Close < MA,124575.80241657904
2012-03-27,NIFTY,LONG,2012-03-27,2012-03-28,5243.14990234375,5194.75,24.09024428367447,126308.76196338488,125142.79649261794,0,0,-1165.9654707669397,-0.9231073542664732,24.0,Close < MA,125142.79649261794
2012-03-30,NIFTY,LONG,2012-03-30,2012-04-13,5295.5498046875,5207.4501953125,23.508363375219083,124489.70908016419,122418.63144976184,0,0,-2071.0776304023457,-1.663653683268463,336.0,Close < MA,122418.63144976184
2012-04-16,NIFTY,LONG,2012-04-16,2012-04-23,5226.2001953125,5200.60009765625,23.228304381686026,121395.7688963457,120801.12203578545,0,0,-594.6468605602568,-0.48984150433447027,168.0,Close < MA,120801.12203578545
2012-04-30,NIFTY,LONG,2012-04-30,2012-05-03,5248.14990234375,5188.39990234375,23.547272464998752,123579.61568764488,122172.6661578612,0,0,-1406.9495297836838,-1.1384964437337592,72.0,Close < MA,122172.6661578612
2012-06-12,NIFTY,LONG,2012-06-12,2012-06-14,5115.89990234375,5054.75,24.298121247474686,124306.75611709234,122820.92837567267,0,0,-1485.8277414196782,-1.1952912197468042,48.0,Close < MA,122820.92837567267
2012-06-15,NIFTY,LONG,2012-06-15,2012-06-18,5139.0498046875,5064.25,23.931843457156315,122986.93544431099,121196.83822790386,0,0,-1790.0972164071281,-1.4555181897492615,72.0,Close < MA,121196.83822790386
2012-06-19,NIFTY,LONG,2012-06-19,2012-07-23,5103.85009765625,5117.9501953125,23.98493348770619,122415.5051235079,122753.69502796321,0,0,338.1899044553138,0.2762639455795293,816.0,Close < MA,122753.69502796321
2012-07-30,NIFTY,LONG,2012-07-30,2013-02-21,5199.7998046875,5852.25,24.113663282275148,125386.22162547446,141119.18594369473,0,0,15732.96431822027,12.547602211999214,4944.0,Close < MA,141119.18594369473
2013-03-07,NIFTY,LONG,2013-03-07,2013-03-18,5863.2998046875,5835.25,24.33714318836227,142695.96690297622,142013.31478989092,0,0,-682.6521130852925,-0.47839622093135303,264.0,Close < MA,142013.31478989092
2013-04-18,NIFTY,LONG,2013-04-18,2013-06-07,5783.10009765625,5881.0,21.348155597453598,123458.52072041472,125548.5030686246,0,0,2089.9823482098873,1.6928619717896023,1200.0,Close < MA,125548.5030686246
2013-07-01,NIFTY,LONG,2013-07-01,2013-07-03,5898.85009765625,5770.89990234375,19.7052427977168,116238.27340165187,113716.98373700376,0,0,-2521.2896646481095,-2.1690701271310173,48.0,Close < MA,113716.98373700376
2013-07-05,NIFTY,LONG,2013-07-05,2013-07-08,5867.89990234375,5811.5498046875,19.369358729610592,113657.45819794305,112565.99294199057,0,0,-1091.4652559524839,-0.9603111606205503,72.0,Close < MA,112565.99294199057
2013-07-09,NIFTY,LONG,2013-07-09,2013-07-10,5859.0,5816.7001953125,19.326777099362356,113235.58702516404,112418.06812862217,0,0,-817.5188965418783,-0.7219628722904958,24.0,Close < MA,112418.06812862217
2013-07-11,NIFTY,LONG,2013-07-11,2013-07-29,5935.10009765625,5831.64990234375,19.275428155365475,114401.59552727565,112407.54871987105,0,0,-1994.0468074046075,-1.7430235987654443,432.0,Close < MA,112407.54871987105
2013-09-10,NIFTY,LONG,2013-09-10,2013-09-30,5896.75,5735.2998046875,20.51052269536661,120945.42470390306,117633.99680877465,0,0,-3311.427895128407,-2.737952182346211,480.0,Close < MA,117633.99680877465
2013-10-01,NIFTY,LONG,2013-10-01,2014-01-27,5780.0498046875,6135.85009765625,20.103980259759677,116202.00717386528,123355.00924012574,0,0,7153.002066260466,6.155661369564734,2832.0,Close < MA,123355.00924012574
2014-02-18,NIFTY,LONG,2014-02-18,2014-02-20,6127.10009765625,6091.4501953125,20.67984586897457,126707.4856433103,125970.25115759755,0,0,-737.2344857127464,-0.5818397247563643,48.0,Close < MA,125970.25115759755
2014-02-21,NIFTY,LONG,2014-02-21,2014-10-16,6155.4501953125,7748.2001953125,20.376350238252083,125425.6090538047,157880.0408957807,0,0,32454.431841975995,25.87544289145432,5688.0,Close < MA,157880.0408957807
2014-10-17,NIFTY,LONG,2014-10-17,2014-12-16,7779.7001953125,8067.60009765625,20.078489407387504,156204.62796423252,161985.2231038294,0,0,5780.595139596873,3.7006554894906856,1440.0,Close < MA,161985.2231038294
2014-12-18,NIFTY,LONG,2014-12-18,2015-01-06,8159.2998046875,8127.35009765625,19.768252094399617,161295.09545284807,160663.5055899121,0,0,-631.5898629359726,-0.39157412763403426,456.0,Close < MA,160663.5055899121
2015-01-08,NIFTY,LONG,2015-01-08,2015-03-23,8234.599609375,8550.900390625,19.28466109196758,158801.46269484548,164901.2160643763,0,0,6099.753369530808,3.8411191345587015,1776.0,Close < MA,164901.2160643763
2015-04-01,NIFTY,LONG,2015-04-01,2015-04-20,8586.25,8448.099609375,19.394097089016146,166522.5661305649,163843.26404189813,0,0,-2679.3020886667655,-1.608972375891693,456.0,Close < MA,163843.26404189813
2015-05-22,NIFTY,LONG,2015-05-22,2015-05-25,8458.9501953125,8370.25,19.547081200428604,165347.78633815484,163613.95641788753,0,0,-1733.829920267308,-1.0485957862909823,72.0,Close < MA,163613.95641788753
2015-06-22,NIFTY,LONG,2015-06-22,2015-06-29,8353.099609375,8318.400390625,19.312683535516,161320.7692965017,160650.6342658533,0,0,-670.1350306484092,-0.4154053030931965,168.0,Close < MA,160650.6342658533
2015-06-30,NIFTY,LONG,2015-06-30,2015-07-09,8368.5,8328.5498046875,19.111374267041214,159933.5355537344,159170.0324190758,0,0,-763.5031346585893,-0.4773877673716954,216.0,Close < MA,159170.0324190758
2015-07-10,NIFTY,LONG,2015-07-10,2015-07-27,8360.5498046875,8361.0,18.926142917317875,158232.96047086967,158241.48093169476,0,0,8.520460825093323,0.0053847572590047825,408.0,Close < MA,158241.48093169476
2015-07-30,NIFTY,LONG,2015-07-30,2015-08-12,8421.7998046875,8349.4501953125,18.62439382079801,156850.91624241974,155503.44862463884,0,0,-1347.4676177809015,-0.8590753883122576,312.0,Close < MA,155503.44862463884
2015-08-14,NIFTY,LONG,2015-08-14,2015-08-20,8518.5498046875,8372.75,18.28892337037474,155795.10460465038,153128.5831493051,0,0,-2666.521455345268,-1.7115566385169165,144.0,Close < MA,153128.5831493051
2015-10-06,NIFTY,LONG,2015-10-06,2015-10-08,8152.89990234375,8129.35009765625,18.685021802580923,152337.11242955286,151897.0838155204,0,0,-440.0286140324606,-0.2888518805527107,48.0,Close < MA,151897.0838155204
2015-10-09,NIFTY,LONG,2015-10-09,2015-10-13,8189.7001953125,8131.7001953125,18.67349593685454,152930.3333212248,151847.27055688723,0,0,-1083.0627643375774,-0.7082066329265378,96.0,Close < MA,151847.27055688723
2015-10-15,NIFTY,LONG,2015-10-15,2015-10-29,8179.5,8111.75,18.902087008140303,154609.6206830836,153329.0042882821,0,0,-1280.6163948015019,-0.8282902377895937,336.0,Close < MA,153329.0042882821
2016-03-09,NIFTY,LONG,2016-03-09,2016-03-10,7531.7998046875,7486.14990234375,22.052972873170148,166098.57677892165,165091.86072087206,0,0,-1006.7160580495838,-0.6060955352974094,24.0,Close < MA,165091.86072087206
2016-03-14,NIFTY,LONG,2016-03-14,2016-03-15,7538.75,7460.60009765625,22.13921246929274,166901.98800288065,165171.8107104379,0,0,-1730.1772924427642,-1.0366427105786793,24.0,Close < MA,165171.8107104379
2016-03-18,NIFTY,LONG,2016-03-18,2016-04-07,7604.35009765625,7546.4501953125,21.76932662352335,165541.5810355006,164281.1391499094,0,0,-1260.4418855911936,-0.7614050063475534,480.0,Close < MA,164281.1391499094
2016-04-11,NIFTY,LONG,2016-04-11,2016-10-17,7671.39990234375,8520.400390625,21.518733709800212,165078.8116799225,183348.2271067371,0,0,18269.41542681458,11.067086830160754,4536.0,Close < MA,183348.2271067371
2016-10-18,NIFTY,LONG,2016-10-18,2016-11-02,8677.900390625,8514.0,21.18970024125247,183882.1080007915,180409.10785402355,0,0,-3473.0001467679394,-1.888710209235251,360.0,Close < MA,180409.10785402355
2017-01-10,NIFTY,LONG,2017-01-10,2017-09-27,8288.599609375,9735.75,20.569432640716734,170491.7913509101,200258.85383185794,0,0,29767.062480947847,17.459528253580608,6240.0,Close < MA,200258.85383185794
2017-10-03,NIFTY,LONG,2017-10-03,2017-12-06,9859.5,10044.099609375,20.09543900614936,198130.9808811296,201840.59107188391,0,0,3709.61019075432,1.872301935950104,1536.0,Close < MA,201840.59107188391
2017-12-07,NIFTY,LONG,2017-12-07,2018-02-07,10166.7001953125,10476.7001953125,19.725866025261606,200546.96597173536,206661.98443956647,0,0,6115.018467831105,3.049170272011466,1488.0,Close < MA,206661.98443956647
2018-02-08,NIFTY,LONG,2018-02-08,2018-02-09,10576.849609375,10454.9501953125,19.31053475219491,204244.62195057512,201890.679079049,0,0,-2353.9428715261165,-1.152511556507835,24.0,Close < MA,201890.679079049
2018-02-12,NIFTY,LONG,2018-02-12,2018-02-16,10539.75,10452.2998046875,19.196760917811638,202329.0608835052,200650.3003918752,0,0,-1678.7604916300043,-0.8297179279631919,96.0,Close < MA,200650.3003918752
2018-02-23,NIFTY,LONG,2018-02-23,2018-03-01,10491.0498046875,10458.349609375,18.905071025386892,198334.04168848848,197715.84217356163,0,0,-618.1995149268478,-0.31169612118217055,144.0,Close < MA,197715.84217356163
2018-04-09,NIFTY,LONG,2018-04-09,2018-05-23,10379.349609375,10430.349609375,19.18244913561511,199101.3459426025,200079.65084851885,0,0,978.3049059163604,0.491360267448111,1056.0,Close < MA,200079.65084851885
2018-05-24,NIFTY,LONG,2018-05-24,2018-06-28,10513.849609375,10589.099609375,19.047167440098825,200259.05394978324,201692.35329965068,0,0,1433.2993498674477,0.7157226210740317,840.0,Close < MA,201692.35329965068
2018-06-29,NIFTY,LONG,2018-06-29,2018-09-21,10714.2998046875,11143.099609375,18.736543302077116,200748.94224196373,208783.1683504133,0,0,8034.226108449569,4.002126247203772,2016.0,Close < MA,208783.1683504133
2018-11-29,NIFTY,LONG,2018-11-29,2018-12-06,10858.7001953125,10601.150390625,19.0258604309906,206596.114377986,201696.00773997273,0,0,-4900.106638013269,-2.3718290408153986,168.0,Close < MA,201696.00773997273
2018-12-13,NIFTY,LONG,2018-12-13,2018-12-21,10791.5498046875,10754.0,18.893775606002453,203893.12045076521,203183.66286695038,0,0,-709.4575838148303,-0.347955626088005,192.0,Close < MA,203183.66286695038
2018-12-27,NIFTY,LONG,2018-12-27,2019-01-03,10779.7998046875,10672.25,19.061288337362114,205476.87229618823,203426.83445841284,0,0,-2050.037837775395,-0.9976976069697675,168.0,Close < MA,203426.83445841284
2019-01-07,NIFTY,LONG,2019-01-07,2019-01-14,10771.7998046875,10737.599609375,18.721951942289103,201669.11827531853,201028.823862261,0,0,-640.2944130575343,-0.31749750211304284,168.0,Close < MA,201028.823862261
2019-01-15,NIFTY,LONG,2019-01-15,2019-01-25,10886.7998046875,10780.5498046875,18.47247280838227,201106.11336239128,199143.41312650064,0,0,-1962.700235890632,-0.97595254717785,240.0,Close < MA,199143.41312650064
2019-01-31,NIFTY,LONG,2019-01-31,2019-02-14,10830.9501953125,10746.0498046875,18.821973701653178,203859.85974008724,202261.86682048338,0,0,-1597.9929196038574,-0.7838683503663896,336.0,Close < MA,202261.86682048338
2019-02-25,NIFTY,LONG,2019-02-25,2019-02-28,10880.099609375,10792.5,18.821452682008744,204779.27997339336,203130.52807057937,0,0,-1648.751902813994,-0.8051360972790869,72.0,Close < MA,203130.52807057937
2019-03-01,NIFTY,LONG,2019-03-01,2019-05-10,10863.5,11278.900390625,18.42686182014034,200180.21338309455,207834.73898117375,0,0,7654.525598079199,3.8238172837943596,1680.0,Close < MA,207834.73898117375
2019-05-17,NIFTY,LONG,2019-05-17,2019-07-08,11407.150390625,11558.599609375,18.320154875968736,208980.76184971727,211755.33499306173,0,0,2774.57314334446,1.3276691685810378,1248.0,Close < MA,211755.33499306173
2019-07-16,NIFTY,LONG,2019-07-16,2019-07-18,11662.599609375,11596.900390625,18.30842454156345,213523.82490670957,212320.9757177855,0,0,-1202.8491889240686,-0.5633325412045256,48.0,Close < MA,212320.9757177855
2019-09-20,NIFTY,LONG,2019-09-20,2019-10-04,11274.2001953125,11174.75,19.961044643370407,225044.81341692817,223059.68362850347,0,0,-1985.1297884247033,-0.8821042166152757,336.0,Close < MA,223059.68362850347
2019-10-09,NIFTY,LONG,2019-10-09,2019-10-10,11313.2998046875,11234.5498046875,19.7646494686755,223603.40497368344,222046.93882802525,0,0,-1556.4661456581962,-0.6960833829169021,24.0,Close < MA,222046.93882802525
2019-10-11,NIFTY,LONG,2019-10-11,2020-01-31,11305.0498046875,11962.099609375,19.544719950598974,220954.03246019082,233795.88688640375,0,0,12841.854426212929,5.812002742482937,2688.0,Close < MA,233795.88688640375
2020-02-04,NIFTY,LONG,2020-02-04,2020-02-24,11979.650390625,11829.400390625,19.358304854826144,231905.72431595586,228997.13901151821,0,0,-2908.5853044376418,-1.2542102240110689,480.0,Close < MA,228997.13901151821
2020-06-02,NIFTY,LONG,2020-06-02,2020-06-15,9979.099609375,9813.7001953125,24.49417409900747,244429.8031833687,240378.48113944798,0,0,-4051.3220439207216,-1.6574582932022666,312.0,Close < MA,240378.48113944798
2020-06-16,NIFTY,LONG,2020-06-16,2020-09-24,9914.0,10805.5498046875,24.503994692354777,242932.60338000525,264779.1350620377,0,0,21846.531682032422,8.99283644026124,2400.0,Close < MA,264779.1350620377
2020-09-25,NIFTY,LONG,2020-09-25,2021-04-12,11050.25,14310.7998046875,24.105049438309052,266366.8225556746,344962.5367937357,0,0,78595.7142380611,29.50657048200267,4776.0,Close < MA,344962.5367937357
2021-04-13,NIFTY,LONG,2021-04-13,2021-04-19,14504.7998046875,14359.4501953125,23.794392668396544,345132.9021292159,341674.39644954907,0,0,-3458.5056796668214,-1.0020793898032867,144.0,Close < MA,341674.39644954907
2021-04-22,NIFTY,LONG,2021-04-22,2021-04-23,14406.150390625,14341.349609375,23.688704819064586,341263.0441825676,339727.9976034916,0,0,-1535.0465790760354,-0.44981330537941927,24.0,Close < MA,339727.9976034916
2021-04-26,NIFTY,LONG,2021-04-26,2021-11-26,14485.0,17026.44921875,23.289964156741604,337355.13081040216,396545.3920212686,0,0,59190.26121086645,17.545386391094233,5136.0,Close < MA,396545.3920212686
2021-12-02,NIFTY,LONG,2021-12-02,2021-12-03,17401.650390625,17196.69921875,22.356815233048902,389045.48253331636,384463.42705191014,0,0,-4582.05548140622,-1.1777685867394259,24.0,Close < MA,384463.42705191014
2021-12-08,NIFTY,LONG,2021-12-08,2021-12-14,17469.75,17324.900390625,22.303179790020284,389630.97513670684,386400.368256302,0,0,-3230.606880404812,-0.8291452904305961,144.0,Close < MA,386400.368256302
2021-12-31,NIFTY,LONG,2021-12-31,2022-01-24,17354.05078125,17149.099609375,22.228204849412187,385749.3957327266,381193.699100162,0,0,-4555.696632564592,-1.180999032781658,576.0,Close < MA,381193.699100162
2022-02-01,NIFTY,LONG,2022-02-01,2022-02-07,17576.849609375,17213.599609375,21.434481376536723,376750.65561033523,368964.58025030827,0,0,-7786.075360026967,-2.066638835017697,144.0,Close < MA,368964.58025030827
2022-02-09,NIFTY,LONG,2022-02-09,2022-02-11,17463.80078125,17374.75,21.31009463491081,372155.24733366683,370257.56675791665,0,0,-1897.680575750186,-0.5099163828392199,48.0,Close < MA,370257.56675791665
2022-03-17,NIFTY,LONG,2022-03-17,2022-03-21,17287.05078125,17117.599609375,22.453831466730183,388160.52479899384,384355.69674387266,0,0,-3804.828055121179,-0.9802202470463688,96.0,Close < MA,384355.69674387266
2022-03-22,NIFTY,LONG,2022-03-22,2022-03-25,17315.5,17153.0,22.28772351522576,385923.0765278917,382301.32145666744,0,0,-3621.7550712242373,-0.9384655366579209,72.0,Close < MA,382301.32145666744
2022-03-28,NIFTY,LONG,2022-03-28,2022-04-18,17222.0,17173.650390625,22.049744684765,379740.7029610228,378674.60641869594,0,0,-1066.0965423268499,-0.2807432898327667,504.0,Close < MA,378674.60641869594
2022-04-21,NIFTY,LONG,2022-04-21,2022-04-22,17392.599609375,17171.94921875,21.31023467421214,370640.37927039166,365938.2676652163,0,0,-4702.111605175363,-1.2686452605168128,24.0,Close < MA,365938.2676652163
2022-07-19,NIFTY,LONG,2022-07-19,2022-09-26,16340.5498046875,17016.30078125,21.436065245172166,350277.09175526653,364762.5337783491,0,0,14485.442023082578,4.135423744240558,1656.0,Close < MA,364762.5337783491
2022-10-04,NIFTY,LONG,2022-10-04,2022-10-11,17274.30078125,16983.55078125,21.814158379045264,376824.33312945283,370481.86658074544,0,0,-6342.466548707394,-1.683136143580337,168.0,Close < MA,370481.86658074544
2022-10-14,NIFTY,LONG,2022-10-14,2022-12-23,17185.69921875,17806.80078125,21.47812902380266,369116.66518457705,382456.76468083746,0,0,13340.099496260402,3.6140604731541113,1680.0,Close < MA,382456.76468083746
2022-12-26,NIFTY,LONG,2022-12-26,2023-01-06,18014.599609375,17859.44921875,21.23037830281849,382456.76468083746,379162.8631940386,0,0,-3293.90148679883,-0.8612480653983493,264.0,Close < MA,379162.8631940386
2023-01-09,NIFTY,LONG,2023-01-09,2023-01-10,18101.19921875,17914.150390625,21.21583839977384,384032.1174671125,380063.71975674544,0,0,-3968.3977103670477,-1.0333504750958469,24.0,Close < MA,380063.71975674544
2023-01-17,NIFTY,LONG,2023-01-17,2023-01-25,18053.30078125,17891.94921875,21.289348394901626,384343.010009981,380907.9403818567,0,0,-3435.0696281243,-0.8937510345342549,192.0,Close < MA,380907.9403818567
2023-02-14,NIFTY,LONG,2023-02-14,2023-02-20,17929.849609375,17844.599609375,21.25741853784649,381142.31746712775,379330.12253677635,0,0,-1812.1949303513975,-0.475464110727535,144.0,Close < MA,379330.12253677635
2023-04-06,NIFTY,LONG,2023-04-06,2023-10-23,17599.150390625,19281.75,23.081995871192618,406223.5166529042,445061.2738893683,0,0,38837.757236464065,9.560686578775499,4800.0,Close < MA,445061.2738893683
2023-11-06,NIFTY,LONG,2023-11-06,2024-05-09,19411.75,21957.5,23.020833796196747,446874.6704433222,505479.95807999006,0,0,58605.28763666784,13.114479632181533,4440.0,Close < MA,505479.95807999006
2024-05-10,NIFTY,LONG,2024-05-10,2024-06-04,22055.19921875,21884.5,23.487845572840026,518029.113328222,514019.75643881754,0,0,-4009.356889404473,-0.7739636221688865,600.0,Close < MA,514019.75643881754
2024-06-05,NIFTY,LONG,2024-06-05,2024-10-22,22620.349609375,24472.099609375,22.768802845528214,515038.2805527805,557200.4112219873,0,0,42162.13066920685,8.186212998372676,3336.0,Close < MA,557200.4112219873
2024-12-03,NIFTY,LONG,2024-12-03,2024-12-17,24457.150390625,24336.0,22.203878258800817,543043.5898306203,540353.5813061767,0,0,-2690.008524443605,-0.4953577530088589,336.0,Close < MA,540353.5813061767
2025-03-21,NIFTY,LONG,2025-03-21,2025-04-01,23350.400390625,23165.69921875,26.697084960296362,623387.623085453,618456.6402076398,0,0,-4930.982877813163,-0.7909978792019154,264.0,Close < MA,618456.6402076398
2025-04-02,NIFTY,LONG,2025-04-02,2025-04-03,23332.349609375,23250.099609375,26.337110106328517,614506.6607014606,612340.433395215,0,0,-2166.2273062455934,-0.35251486188495346,24.0,Close < MA,612340.433395215
2025-04-15,NIFTY,LONG,2025-04-15,2025-07-28,23328.55078125,24680.900390625,26.874909298417048,626952.6863096099,663296.9594013127,0,0,36344.27309170284,5.796972225389722,2496.0,Close < MA,663296.9594013127
2025-07-29,NIFTY,LONG,2025-07-29,2025-08-01,24821.099609375,24565.349609375,26.6840182672043,662326.67538866,655502.2377168225,0,0,-6824.437671837513,-1.0303733679204243,72.0,Close < MA,655502.2377168225
2025-08-04,NIFTY,LONG,2025-08-04,2025-08-05,24722.75,24649.55078125,26.928264953676454,665740.7623835045,663769.6344266024,0,0,-1971.1279569021426,-0.29608040671042174,24.0,Close < MA,663769.6344266024
2025-08-18,NIFTY,LONG,2025-08-18,2025-08-26,24876.94921875,24712.05078125,26.407667126421853,656942.1940896502,652587.6110424831,0,0,-4354.583047167049,-0.662856349667319,192.0,Close < MA,652587.6110424831
2025-09-03,NIFTY,LONG,2025-09-03,2025-09-26,24715.05078125,24654.69921875,27.6801141406864,684115.4266178606,682444.8884792918,0,0,-1670.5381385687506,-0.24418951445483117,552.0,Close < MA,682444.8884792918
2025-10-01,NIFTY,LONG,2025-10-01,2026-01-09,24836.30078125,25683.30078125,28.472188225075897,707143.8306583496,731259.7740849889,0,0,24115.943426639307,3.4103307391068394,2400.0,Close < MA,731259.7740849889
2026-01-12,NIFTY,LONG,2026-01-12,2026-01-14,25790.25,25665.599609375,29.14027621241714,751535.0085872912,747902.6617744929,0,0,-3632.3468127982924,-0.48332370033250327,48.0,Close < MA,747902.6617744929
